Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001275,1.0,1.0,1,1,0.0,3988,0.0,50.0,240.0,1.0,1,Y
LP001279,1.0,0.0,0,1,0.0,2366,2531.0,136.0,360.0,1.0,3,Y
LP001280,1.0,1.0,2,0,0.0,3333,2000.0,99.0,360.0,0.0,3,Y
LP001282,1.0,1.0,0,1,0.0,2500,2118.0,104.0,360.0,1.0,3,Y
LP001289,1.0,0.0,0,1,0.0,8566,0.0,210.0,360.0,1.0,1,Y
LP001310,1.0,1.0,0,1,0.0,5695,4167.0,175.0,360.0,1.0,3,Y
LP001316,1.0,1.0,0,1,0.0,2958,2900.0,131.0,360.0,1.0,3,Y
LP001318,1.0,1.0,2,1,0.0,6250,5654.0,188.0,180.0,1.0,3,Y
LP001319,1.0,1.0,2,0,0.0,3273,1820.0,81.0,360.0,1.0,1,Y
LP001322,1.0,0.0,0,1,0.0,4133,0.0,122.0,360.0,1.0,3,Y
LP001325,1.0,0.0,0,0,0.0,3620,0.0,25.0,120.0,1.0,3,Y
LP001327,0.0,1.0,0,1,0.0,2484,2302.0,137.0,360.0,1.0,3,Y
LP001333,1.0,1.0,0,1,0.0,1977,997.0,50.0,360.0,1.0,3,Y
LP001334,1.0,1.0,0,0,0.0,4188,0.0,115.0,180.0,1.0,3,Y
LP001343,1.0,1.0,0,1,0.0,1759,3541.0,131.0,360.0,1.0,3,Y
LP001345,1.0,1.0,2,0,0.0,4288,3263.0,133.0,180.0,1.0,1,Y
LP001349,1.0,0.0,0,1,0.0,4843,3806.0,151.0,360.0,1.0,3,Y
LP001350,1.0,1.0,0,1,0.0,13650,0.0,0.0,360.0,1.0,1,Y
LP001356,1.0,1.0,0,1,0.0,4652,3583.0,0.0,360.0,1.0,3,Y
LP001357,1.0,0.0,0,1,0.0,3816,754.0,160.0,360.0,1.0,1,Y
LP001367,1.0,1.0,1,1,0.0,3052,1030.0,100.0,360.0,1.0,1,Y
LP001369,1.0,1.0,2,1,0.0,11417,1126.0,225.0,360.0,1.0,1,Y
LP001384,1.0,1.0,3,0,0.0,2071,754.0,94.0,480.0,1.0,3,Y
LP001385,1.0,0.0,0,1,0.0,5316,0.0,136.0,360.0,1.0,1,Y
LP001387,0.0,1.0,0,1,0.0,2929,2333.0,139.0,360.0,1.0,3,Y
LP001392,0.0,0.0,1,1,1.0,7451,0.0,0.0,360.0,1.0,3,Y
LP001398,1.0,0.0,0,1,0.0,5050,0.0,118.0,360.0,1.0,3,Y
LP001401,1.0,1.0,1,1,0.0,14583,0.0,185.0,180.0,1.0,0,Y
LP001404,0.0,1.0,0,1,0.0,3167,2283.0,154.0,360.0,1.0,3,Y
LP001405,1.0,1.0,1,1,0.0,2214,1398.0,85.0,360.0,0.0,1,Y
LP001422,0.0,0.0,0,1,0.0,10408,0.0,259.0,360.0,1.0,1,Y
LP001426,1.0,1.0,0,1,0.0,5667,2667.0,180.0,360.0,1.0,0,Y
LP001430,0.0,0.0,0,1,0.0,4166,0.0,44.0,360.0,1.0,3,Y
LP001431,0.0,0.0,0,1,0.0,2137,8980.0,137.0,360.0,0.0,3,Y
LP001432,1.0,1.0,2,1,0.0,2957,0.0,81.0,360.0,1.0,3,Y
LP001439,1.0,1.0,0,0,0.0,4300,2014.0,194.0,360.0,1.0,0,Y
LP001443,0.0,0.0,0,1,0.0,3692,0.0,93.0,360.0,0.0,0,Y
LP001448,0.0,1.0,3,1,0.0,23803,0.0,370.0,360.0,1.0,0,Y
LP001449,1.0,0.0,0,1,0.0,3865,1640.0,0.0,360.0,1.0,0,Y
LP001469,1.0,0.0,0,1,1.0,20166,0.0,650.0,480.0,0.0,1,Y
LP001473,1.0,0.0,0,1,0.0,2014,1929.0,74.0,360.0,1.0,1,Y
LP001478,1.0,0.0,0,1,0.0,2718,0.0,70.0,360.0,1.0,3,Y
LP001482,1.0,1.0,0,1,1.0,3459,0.0,25.0,120.0,1.0,3,Y
LP001487,1.0,0.0,0,1,0.0,4895,0.0,102.0,360.0,1.0,3,Y
LP001491,1.0,1.0,2,1,1.0,3316,3500.0,88.0,360.0,1.0,1,Y
LP001498,1.0,0.0,0,1,0.0,5417,0.0,168.0,360.0,1.0,1,Y
LP001504,1.0,0.0,0,1,1.0,6950,0.0,175.0,180.0,1.0,3,Y
LP001507,1.0,1.0,0,1,0.0,2698,2034.0,122.0,360.0,1.0,3,Y
LP001508,1.0,1.0,2,1,0.0,11757,0.0,187.0,180.0,1.0,1,Y
LP001514,0.0,1.0,0,1,0.0,2330,4486.0,100.0,360.0,1.0,3,Y
LP001516,0.0,1.0,2,1,0.0,14866,0.0,70.0,360.0,1.0,1,Y
LP001518,1.0,1.0,1,1,0.0,1538,1425.0,30.0,360.0,1.0,1,Y
LP001520,1.0,1.0,0,1,0.0,4860,830.0,125.0,360.0,1.0,3,Y
LP001529,1.0,1.0,0,1,1.0,2577,3750.0,152.0,360.0,1.0,0,Y
LP001535,1.0,0.0,0,1,0.0,3254,0.0,50.0,360.0,1.0,1,Y
LP001536,1.0,1.0,3,1,0.0,39999,0.0,600.0,180.0,0.0,3,Y
LP001541,1.0,1.0,1,1,0.0,6000,0.0,160.0,360.0,0.0,0,Y
LP001543,1.0,1.0,1,1,0.0,9538,0.0,187.0,360.0,1.0,1,Y
LP001546,1.0,0.0,0,1,0.0,2980,2083.0,120.0,360.0,1.0,0,Y
LP001552,1.0,1.0,0,1,0.0,4583,5625.0,255.0,360.0,1.0,3,Y
LP001560,1.0,1.0,0,0,0.0,1863,1041.0,98.0,360.0,1.0,3,Y
LP001570,1.0,1.0,2,1,0.0,4167,1447.0,158.0,360.0,1.0,0,Y
LP001572,1.0,1.0,0,1,0.0,9323,0.0,75.0,180.0,1.0,1,Y
LP001574,1.0,1.0,0,1,0.0,3707,3166.0,182.0,0.0,1.0,0,Y
LP001578,1.0,1.0,0,1,0.0,2439,3333.0,129.0,360.0,1.0,0,Y
LP001580,1.0,1.0,2,1,0.0,8000,0.0,200.0,360.0,1.0,3,Y
LP001581,1.0,1.0,0,0,0.0,1820,1769.0,95.0,360.0,1.0,0,Y
LP001585,0.0,1.0,3,1,0.0,51763,0.0,700.0,300.0,1.0,1,Y
LP001594,1.0,1.0,0,1,0.0,5708,5625.0,187.0,360.0,1.0,3,Y
LP001606,1.0,1.0,0,1,0.0,3497,1964.0,116.0,360.0,1.0,0,Y
LP001608,1.0,1.0,2,1,0.0,2045,1619.0,101.0,360.0,1.0,0,Y
LP001616,1.0,1.0,1,1,0.0,3750,0.0,116.0,360.0,1.0,3,Y
LP001636,1.0,1.0,0,1,0.0,4600,0.0,73.0,180.0,1.0,3,Y
LP001639,0.0,1.0,0,1,0.0,3625,0.0,108.0,360.0,1.0,3,Y
LP001640,1.0,1.0,0,1,1.0,39147,4750.0,120.0,360.0,1.0,3,Y
LP001643,1.0,1.0,0,1,0.0,2383,2138.0,58.0,360.0,0.0,0,Y
LP001644,0.0,1.0,0,1,1.0,674,5296.0,168.0,360.0,1.0,0,Y
LP001647,1.0,1.0,0,1,0.0,9328,0.0,188.0,180.0,1.0,0,Y
LP001653,1.0,0.0,0,0,0.0,4885,0.0,48.0,360.0,1.0,0,Y
LP001658,1.0,0.0,0,1,0.0,3858,0.0,76.0,360.0,1.0,3,Y
LP001664,1.0,0.0,0,1,0.0,4191,0.0,120.0,360.0,1.0,0,Y
LP001666,1.0,0.0,0,1,0.0,8333,3750.0,187.0,360.0,1.0,0,Y
LP001669,0.0,0.0,0,0,0.0,1907,2365.0,120.0,0.0,1.0,1,Y
LP001671,0.0,1.0,0,1,0.0,3416,2816.0,113.0,360.0,0.0,3,Y
LP001674,1.0,1.0,1,0,0.0,2600,2500.0,90.0,360.0,1.0,3,Y
LP001677,1.0,0.0,2,1,0.0,4923,0.0,166.0,360.0,0.0,3,Y
LP001688,1.0,1.0,1,0,0.0,3500,1083.0,135.0,360.0,1.0,1,Y
LP001691,1.0,1.0,2,0,0.0,3917,0.0,124.0,360.0,1.0,3,Y
LP001692,0.0,0.0,0,0,0.0,4408,0.0,120.0,360.0,1.0,3,Y
LP001693,0.0,0.0,0,1,0.0,3244,0.0,80.0,360.0,1.0,1,Y
LP001698,1.0,0.0,0,0,0.0,3975,2531.0,55.0,360.0,1.0,0,Y
LP001699,1.0,0.0,0,1,0.0,2479,0.0,59.0,360.0,1.0,1,Y
LP001713,1.0,1.0,1,1,1.0,7787,0.0,240.0,360.0,1.0,1,Y
LP001715,1.0,1.0,3,0,1.0,5703,0.0,130.0,360.0,1.0,0,Y
LP001716,1.0,1.0,0,1,0.0,3173,3021.0,137.0,360.0,1.0,1,Y
LP001720,1.0,1.0,3,0,0.0,3850,983.0,100.0,360.0,1.0,3,Y
LP001726,1.0,1.0,0,1,0.0,3727,1775.0,131.0,360.0,1.0,3,Y
LP001734,0.0,1.0,2,1,0.0,4283,2383.0,127.0,360.0,0.0,3,Y
LP001743,1.0,1.0,2,1,0.0,4009,1717.0,116.0,360.0,1.0,3,Y
LP001744,1.0,0.0,0,1,0.0,2971,2791.0,144.0,360.0,1.0,3,Y
LP001749,1.0,1.0,0,1,0.0,7578,1010.0,175.0,0.0,1.0,3,Y
LP001750,1.0,1.0,0,1,0.0,6250,0.0,128.0,360.0,1.0,3,Y
LP001758,1.0,1.0,2,1,0.0,6250,1695.0,210.0,360.0,1.0,3,Y
LP001760,1.0,0.0,0,1,0.0,4758,0.0,158.0,480.0,1.0,3,Y
LP001761,1.0,0.0,0,1,1.0,6400,0.0,200.0,360.0,1.0,0,Y
LP001765,1.0,1.0,1,1,0.0,2491,2054.0,104.0,360.0,1.0,3,Y
LP001768,1.0,1.0,0,1,0.0,3716,0.0,42.0,180.0,1.0,0,Y
LP001770,1.0,0.0,0,0,0.0,3189,2598.0,120.0,0.0,1.0,0,Y
LP001776,0.0,0.0,0,1,0.0,8333,0.0,280.0,360.0,1.0,3,Y
LP001778,1.0,1.0,1,1,0.0,3155,1779.0,140.0,360.0,1.0,3,Y
LP001784,1.0,1.0,1,1,0.0,5500,1260.0,170.0,360.0,1.0,0,Y
LP001788,0.0,0.0,0,1,1.0,3463,0.0,122.0,360.0,0.0,1,Y
LP001790,0.0,0.0,1,1,0.0,3812,0.0,112.0,360.0,1.0,0,Y
LP001792,1.0,1.0,1,1,0.0,3315,0.0,96.0,360.0,1.0,3,Y
LP001798,1.0,1.0,2,1,0.0,5819,5000.0,120.0,360.0,1.0,0,Y
LP001806,1.0,0.0,0,1,0.0,2965,5701.0,155.0,60.0,1.0,1,Y
LP001807,1.0,1.0,2,1,1.0,6250,1300.0,108.0,360.0,1.0,0,Y
LP001811,1.0,1.0,0,0,0.0,3406,4417.0,123.0,360.0,1.0,3,Y
LP001814,1.0,1.0,2,1,0.0,9703,0.0,112.0,360.0,1.0,1,Y
LP001819,1.0,1.0,1,0,0.0,6608,0.0,137.0,180.0,1.0,1,Y
LP001824,1.0,1.0,1,1,0.0,2882,1843.0,123.0,480.0,1.0,3,Y
LP001825,1.0,1.0,0,1,0.0,1809,1868.0,90.0,360.0,1.0,1,Y
LP001841,1.0,0.0,0,0,1.0,2583,2167.0,104.0,360.0,1.0,0,Y
LP001843,1.0,1.0,1,0,0.0,2661,7101.0,279.0,180.0,1.0,3,Y
LP001846,0.0,0.0,3,1,0.0,3083,0.0,255.0,360.0,1.0,0,Y
LP001865,1.0,1.0,1,1,0.0,6083,4250.0,330.0,360.0,0.0,1,Y
LP001868,1.0,0.0,0,1,0.0,2060,2209.0,134.0,360.0,1.0,3,Y
LP001871,0.0,0.0,0,1,0.0,7200,0.0,120.0,360.0,1.0,0,Y
LP001872,1.0,0.0,0,1,1.0,5166,0.0,128.0,360.0,1.0,3,Y
LP001875,1.0,0.0,0,1,0.0,4095,3447.0,151.0,360.0,1.0,0,Y
LP001877,1.0,1.0,2,1,0.0,4708,1387.0,150.0,360.0,1.0,3,Y
LP001882,1.0,1.0,3,1,0.0,4333,1811.0,160.0,360.0,0.0,1,Y
LP001884,0.0,0.0,1,1,0.0,2876,1560.0,90.0,360.0,1.0,1,Y
LP001888,0.0,0.0,0,1,0.0,3237,0.0,30.0,360.0,1.0,1,Y
LP001891,1.0,1.0,0,1,0.0,11146,0.0,136.0,360.0,1.0,1,Y
LP001892,1.0,0.0,0,1,0.0,2833,1857.0,126.0,360.0,1.0,0,Y
LP001894,1.0,1.0,0,1,0.0,2620,2223.0,150.0,360.0,1.0,3,Y
LP001896,1.0,1.0,2,1,0.0,3900,0.0,90.0,360.0,1.0,3,Y
LP001900,1.0,1.0,1,1,0.0,2750,1842.0,115.0,360.0,1.0,3,Y
LP001903,1.0,1.0,0,1,0.0,3993,3274.0,207.0,360.0,1.0,3,Y
LP001904,1.0,1.0,0,1,0.0,3103,1300.0,80.0,360.0,1.0,1,Y
LP001907,1.0,1.0,0,1,0.0,14583,0.0,436.0,360.0,1.0,3,Y
LP001908,0.0,1.0,0,0,0.0,4100,0.0,124.0,360.0,0.0,0,Y
LP001914,1.0,1.0,0,1,0.0,3927,800.0,112.0,360.0,1.0,3,Y
LP001915,1.0,1.0,2,1,0.0,2301,985.7999877999998,78.0,180.0,1.0,1,Y
LP001917,0.0,0.0,0,1,0.0,1811,1666.0,54.0,360.0,1.0,1,Y
LP001924,1.0,0.0,0,1,0.0,3158,3053.0,89.0,360.0,1.0,0,Y
LP001926,1.0,1.0,0,1,0.0,3704,2000.0,120.0,360.0,1.0,0,Y
LP001931,0.0,0.0,0,1,0.0,4124,0.0,115.0,360.0,1.0,3,Y
LP001935,1.0,0.0,0,1,0.0,9508,0.0,187.0,360.0,1.0,0,Y
LP001936,1.0,1.0,0,1,0.0,3075,2416.0,139.0,360.0,1.0,0,Y
LP001940,1.0,1.0,2,1,0.0,3153,1560.0,134.0,360.0,1.0,1,Y
LP001947,1.0,1.0,0,1,0.0,2383,3334.0,172.0,360.0,1.0,3,Y
LP001949,1.0,1.0,3,1,0.0,4416,1250.0,110.0,360.0,1.0,1,Y
LP001953,1.0,1.0,1,1,0.0,6875,0.0,200.0,360.0,1.0,3,Y
LP001954,0.0,1.0,1,1,0.0,4666,0.0,135.0,360.0,1.0,1,Y
LP001972,1.0,1.0,0,0,0.0,2875,1750.0,105.0,360.0,1.0,3,Y
LP001974,0.0,0.0,0,1,0.0,5000,0.0,132.0,360.0,1.0,0,Y
LP001977,1.0,1.0,1,1,0.0,1625,1803.0,96.0,360.0,1.0,1,Y
LP001978,1.0,0.0,0,1,0.0,4000,2500.0,140.0,360.0,1.0,0,Y
LP001993,0.0,0.0,0,1,0.0,3762,1666.0,135.0,360.0,1.0,0,Y
LP001998,1.0,1.0,2,0,0.0,7667,0.0,185.0,360.0,0.0,0,Y
LP002002,0.0,0.0,0,1,0.0,2917,0.0,84.0,360.0,1.0,3,Y
LP002004,1.0,0.0,0,0,0.0,2927,2405.0,111.0,360.0,1.0,3,Y
LP002006,0.0,0.0,0,1,0.0,2507,0.0,56.0,360.0,1.0,0,Y
LP002008,1.0,1.0,2,1,1.0,5746,0.0,144.0,84.0,0.0,0,Y
LP002031,1.0,1.0,1,0,0.0,3399,1640.0,111.0,180.0,1.0,1,Y
LP002035,1.0,1.0,2,1,0.0,3717,0.0,120.0,360.0,1.0,3,Y
LP002036,1.0,1.0,0,1,0.0,2058,2134.0,88.0,360.0,0.0,1,Y
LP002043,0.0,0.0,1,1,0.0,3541,0.0,112.0,360.0,0.0,3,Y
LP002051,1.0,1.0,0,1,0.0,2400,2167.0,115.0,360.0,1.0,3,Y
LP002053,1.0,1.0,3,1,0.0,4342,189.0,124.0,360.0,1.0,3,Y
LP002054,1.0,1.0,2,0,0.0,3601,1590.0,0.0,360.0,1.0,0,Y
LP002055,0.0,0.0,0,1,0.0,3166,2985.0,132.0,360.0,0.0,0,Y
LP002065,1.0,1.0,3,1,0.0,15000,0.0,300.0,360.0,1.0,0,Y
LP002068,1.0,0.0,0,1,0.0,4917,0.0,130.0,360.0,0.0,0,Y
LP002082,1.0,1.0,0,1,1.0,5818,2160.0,184.0,360.0,1.0,3,Y
LP002087,0.0,0.0,0,1,0.0,2500,0.0,67.0,360.0,1.0,1,Y
LP002097,1.0,0.0,1,1,0.0,4384,1793.0,117.0,360.0,1.0,1,Y
LP002098,1.0,0.0,0,1,0.0,2935,0.0,98.0,360.0,1.0,3,Y
LP002100,1.0,0.0,0,1,0.0,2833,0.0,71.0,360.0,1.0,1,Y
LP002101,1.0,1.0,0,1,0.0,63337,0.0,490.0,180.0,1.0,1,Y
LP002103,0.0,1.0,1,1,1.0,9833,1833.0,182.0,180.0,1.0,1,Y
LP002106,1.0,1.0,0,1,1.0,5503,4490.0,70.0,0.0,1.0,3,Y
LP002110,1.0,1.0,1,1,0.0,5250,688.0,160.0,360.0,1.0,0,Y
LP002112,1.0,1.0,2,1,1.0,2500,4600.0,176.0,360.0,1.0,0,Y
LP002114,0.0,0.0,0,1,0.0,4160,0.0,71.0,360.0,1.0,3,Y
LP002119,1.0,1.0,1,0,0.0,4554,1229.0,158.0,360.0,1.0,1,Y
LP002126,1.0,1.0,3,0,0.0,3173,0.0,74.0,360.0,1.0,3,Y
LP002128,1.0,1.0,2,1,0.0,2583,2330.0,125.0,360.0,1.0,0,Y
LP002129,1.0,1.0,0,1,0.0,2499,2458.0,160.0,360.0,1.0,3,Y
LP002131,1.0,1.0,2,0,0.0,3083,2168.0,126.0,360.0,1.0,1,Y
LP002137,1.0,1.0,0,1,0.0,6333,4583.0,259.0,360.0,0.0,3,Y
LP002138,1.0,1.0,0,1,0.0,2625,6250.0,187.0,360.0,1.0,0,Y
LP002139,1.0,1.0,0,1,0.0,9083,0.0,228.0,360.0,1.0,3,Y
LP002141,1.0,1.0,3,1,0.0,2666,2083.0,95.0,360.0,1.0,0,Y
LP002143,0.0,1.0,0,1,0.0,2423,505.0,130.0,360.0,1.0,3,Y
LP002144,0.0,0.0,0,1,0.0,3813,0.0,116.0,180.0,1.0,1,Y
LP002149,1.0,1.0,2,1,0.0,8333,3167.0,165.0,360.0,1.0,0,Y
LP002160,1.0,1.0,3,1,0.0,5167,3167.0,200.0,360.0,1.0,3,Y
LP002170,1.0,1.0,2,1,0.0,5000,3667.0,236.0,360.0,1.0,3,Y
LP002175,1.0,1.0,0,1,0.0,4750,2333.0,130.0,360.0,1.0,1,Y
LP002178,1.0,1.0,0,1,0.0,3013,3033.0,95.0,300.0,0.0,1,Y
LP002180,1.0,0.0,0,1,1.0,6822,0.0,141.0,360.0,1.0,0,Y
LP002190,1.0,1.0,1,1,0.0,6325,0.0,175.0,360.0,1.0,3,Y
LP002194,0.0,0.0,0,1,1.0,15759,0.0,55.0,360.0,1.0,3,Y
LP002197,1.0,1.0,2,1,0.0,5185,0.0,155.0,360.0,1.0,3,Y
LP002201,1.0,1.0,2,1,1.0,9323,7873.0,380.0,300.0,1.0,0,Y
LP002209,0.0,0.0,0,1,0.0,2764,1459.0,110.0,360.0,1.0,1,Y
LP002211,1.0,1.0,0,1,0.0,4817,923.0,120.0,180.0,1.0,1,Y
LP002219,1.0,1.0,3,1,0.0,8750,4996.0,130.0,360.0,1.0,0,Y
LP002223,1.0,1.0,0,1,0.0,4310,0.0,130.0,360.0,0.0,3,Y
LP002225,1.0,1.0,2,1,0.0,5391,0.0,130.0,360.0,1.0,1,Y
LP002226,1.0,1.0,0,1,0.0,3333,2500.0,128.0,360.0,1.0,3,Y
LP002229,1.0,0.0,0,1,0.0,5941,4232.0,296.0,360.0,1.0,3,Y
LP002231,0.0,0.0,0,1,0.0,6000,0.0,156.0,360.0,1.0,1,Y
LP002234,1.0,0.0,0,1,1.0,7167,0.0,128.0,360.0,1.0,1,Y
LP002237,1.0,0.0,1,1,0.0,3667,0.0,113.0,180.0,1.0,1,Y
LP002239,1.0,0.0,0,0,0.0,2346,1600.0,132.0,360.0,1.0,3,Y
LP002244,1.0,1.0,0,1,0.0,2333,2417.0,136.0,360.0,1.0,1,Y
LP002250,1.0,1.0,0,1,0.0,5488,0.0,125.0,360.0,1.0,0,Y
LP002255,1.0,0.0,3,1,0.0,9167,0.0,185.0,360.0,1.0,0,Y
LP002262,1.0,1.0,3,1,0.0,9504,0.0,275.0,360.0,1.0,0,Y
LP002263,1.0,1.0,0,1,0.0,2583,2115.0,120.0,360.0,0.0,1,Y
LP002265,1.0,1.0,2,0,0.0,1993,1625.0,113.0,180.0,1.0,3,Y
LP002266,1.0,1.0,2,1,0.0,3100,1400.0,113.0,360.0,1.0,1,Y
LP002272,1.0,1.0,2,1,0.0,3276,484.0,135.0,360.0,0.0,3,Y
LP002281,1.0,1.0,0,1,0.0,3033,1459.0,95.0,360.0,1.0,1,Y
LP002284,1.0,0.0,0,0,0.0,3902,1666.0,109.0,360.0,1.0,0,Y
LP002297,1.0,0.0,0,1,0.0,2500,20000.0,103.0,360.0,1.0,3,Y
LP002300,0.0,0.0,0,0,0.0,1963,0.0,53.0,360.0,1.0,3,Y
LP002305,0.0,0.0,0,1,0.0,4547,0.0,115.0,360.0,1.0,3,Y
LP002308,1.0,1.0,0,0,0.0,2167,2400.0,115.0,360.0,1.0,1,Y
LP002314,0.0,0.0,0,0,0.0,2213,0.0,66.0,360.0,1.0,0,Y
LP002319,1.0,1.0,0,1,0.0,6256,0.0,160.0,360.0,0.0,1,Y
LP002332,1.0,1.0,0,0,0.0,2253,2033.0,110.0,360.0,1.0,0,Y
LP002337,0.0,0.0,0,1,0.0,2995,0.0,60.0,360.0,1.0,1,Y
LP002345,1.0,1.0,0,1,0.0,1025,2773.0,112.0,360.0,1.0,0,Y
LP002347,1.0,1.0,0,1,0.0,3246,1417.0,138.0,360.0,1.0,3,Y
LP002348,1.0,1.0,0,1,0.0,5829,0.0,138.0,360.0,1.0,0,Y
LP002361,1.0,1.0,0,1,0.0,1820,1719.0,100.0,360.0,1.0,1,Y
LP002364,1.0,1.0,0,1,0.0,14880,0.0,96.0,360.0,1.0,3,Y
LP002366,1.0,1.0,0,1,0.0,2666,4300.0,121.0,360.0,1.0,0,Y
LP002368,1.0,1.0,2,1,0.0,5935,0.0,133.0,360.0,1.0,3,Y
LP002369,1.0,1.0,0,1,0.0,2920,16.12000084,87.0,360.0,1.0,0,Y
LP002370,1.0,0.0,0,0,0.0,2717,0.0,60.0,180.0,1.0,1,Y
LP002377,0.0,0.0,1,1,1.0,8624,0.0,150.0,360.0,1.0,3,Y
LP002386,1.0,0.0,0,1,0.0,12876,0.0,405.0,360.0,1.0,3,Y
LP002387,1.0,1.0,0,1,0.0,2425,2340.0,143.0,360.0,1.0,3,Y
LP002390,1.0,0.0,0,1,0.0,3750,0.0,100.0,360.0,1.0,1,Y
LP002393,0.0,0.0,0,1,0.0,10047,0.0,0.0,240.0,1.0,3,Y
LP002398,1.0,0.0,0,1,0.0,1926,1851.0,50.0,360.0,1.0,3,Y
LP002401,1.0,1.0,0,1,0.0,2213,1125.0,0.0,360.0,1.0,1,Y
LP002407,0.0,1.0,0,0,1.0,7142,0.0,138.0,360.0,1.0,0,Y
