Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001473,1.0,0.0,1,No,2014,74.0,360.0,1.0,Urban
LP001478,1.0,0.0,1,No,2718,70.0,360.0,1.0,Semiurban
LP001482,1.0,1.0,1,Yes,3459,25.0,120.0,1.0,Semiurban
LP001487,1.0,0.0,1,No,4895,102.0,360.0,1.0,Semiurban
LP001491,1.0,1.0,1,Yes,3316,88.0,360.0,1.0,Urban
LP001498,1.0,0.0,1,No,5417,168.0,360.0,1.0,Urban
LP001504,1.0,0.0,1,Yes,6950,175.0,180.0,1.0,Semiurban
LP001507,1.0,1.0,1,No,2698,122.0,360.0,1.0,Semiurban
LP001508,1.0,1.0,1,No,11757,187.0,180.0,1.0,Urban
LP001514,0.0,1.0,1,No,2330,100.0,360.0,1.0,Semiurban
LP001516,0.0,1.0,1,No,14866,70.0,360.0,1.0,Urban
LP001518,1.0,1.0,1,No,1538,30.0,360.0,1.0,Urban
LP001520,1.0,1.0,1,No,4860,125.0,360.0,1.0,Semiurban
LP001529,1.0,1.0,1,Yes,2577,152.0,360.0,1.0,Rural
LP001535,1.0,0.0,1,No,3254,50.0,360.0,1.0,Urban
LP001536,1.0,1.0,1,No,39999,600.0,180.0,0.0,Semiurban
LP001541,1.0,1.0,1,No,6000,160.0,360.0,,Rural
LP001543,1.0,1.0,1,No,9538,187.0,360.0,1.0,Urban
LP001546,1.0,0.0,1,,2980,120.0,360.0,1.0,Rural
LP001552,1.0,1.0,1,No,4583,255.0,360.0,1.0,Semiurban
LP001560,1.0,1.0,0,No,1863,98.0,360.0,1.0,Semiurban
LP001570,1.0,1.0,1,No,4167,158.0,360.0,1.0,Rural
LP001572,1.0,1.0,1,No,9323,75.0,180.0,1.0,Urban
LP001574,1.0,1.0,1,No,3707,182.0,,1.0,Rural
LP001578,1.0,1.0,1,No,2439,129.0,360.0,1.0,Rural
LP001580,1.0,1.0,1,No,8000,200.0,360.0,1.0,Semiurban
LP001581,1.0,1.0,0,,1820,95.0,360.0,1.0,Rural
LP001585,,1.0,1,No,51763,700.0,300.0,1.0,Urban
LP001594,1.0,1.0,1,No,5708,187.0,360.0,1.0,Semiurban
LP001606,1.0,1.0,1,No,3497,116.0,360.0,1.0,Rural
LP001608,1.0,1.0,1,No,2045,101.0,360.0,1.0,Rural
LP001616,1.0,1.0,1,No,3750,116.0,360.0,1.0,Semiurban
LP001636,1.0,1.0,1,No,4600,73.0,180.0,1.0,Semiurban
LP001639,0.0,1.0,1,No,3625,108.0,360.0,1.0,Semiurban
LP001640,1.0,1.0,1,Yes,39147,120.0,360.0,1.0,Semiurban
LP001643,1.0,1.0,1,No,2383,58.0,360.0,,Rural
LP001644,,1.0,1,Yes,674,168.0,360.0,1.0,Rural
LP001647,1.0,1.0,1,No,9328,188.0,180.0,1.0,Rural
LP001653,1.0,0.0,0,No,4885,48.0,360.0,1.0,Rural
LP001658,1.0,0.0,1,No,3858,76.0,360.0,1.0,Semiurban
LP001664,1.0,0.0,1,No,4191,120.0,360.0,1.0,Rural
LP001666,1.0,0.0,1,No,8333,187.0,360.0,1.0,Rural
LP001669,0.0,0.0,0,No,1907,120.0,,1.0,Urban
LP001671,0.0,1.0,1,No,3416,113.0,360.0,,Semiurban
LP001674,1.0,1.0,0,No,2600,90.0,360.0,1.0,Semiurban
LP001677,1.0,0.0,1,No,4923,166.0,360.0,0.0,Semiurban
LP001688,1.0,1.0,0,No,3500,135.0,360.0,1.0,Urban
LP001691,1.0,1.0,0,No,3917,124.0,360.0,1.0,Semiurban
LP001692,0.0,0.0,0,No,4408,120.0,360.0,1.0,Semiurban
LP001693,0.0,0.0,1,No,3244,80.0,360.0,1.0,Urban
LP001698,1.0,0.0,0,No,3975,55.0,360.0,1.0,Rural
LP001699,1.0,0.0,1,No,2479,59.0,360.0,1.0,Urban
LP001713,1.0,1.0,1,Yes,7787,240.0,360.0,1.0,Urban
LP001715,1.0,1.0,0,Yes,5703,130.0,360.0,1.0,Rural
LP001716,1.0,1.0,1,No,3173,137.0,360.0,1.0,Urban
LP001720,1.0,1.0,0,No,3850,100.0,360.0,1.0,Semiurban
LP001726,1.0,1.0,1,No,3727,131.0,360.0,1.0,Semiurban
LP001734,0.0,1.0,1,No,4283,127.0,360.0,,Semiurban
LP001743,1.0,1.0,1,No,4009,116.0,360.0,1.0,Semiurban
LP001744,1.0,0.0,1,No,2971,144.0,360.0,1.0,Semiurban
LP001749,1.0,1.0,1,No,7578,175.0,,1.0,Semiurban
LP001750,1.0,1.0,1,No,6250,128.0,360.0,1.0,Semiurban
LP001758,1.0,1.0,1,No,6250,210.0,360.0,1.0,Semiurban
LP001760,1.0,,1,No,4758,158.0,480.0,1.0,Semiurban
LP001761,1.0,0.0,1,Yes,6400,200.0,360.0,1.0,Rural
LP001765,1.0,1.0,1,No,2491,104.0,360.0,1.0,Semiurban
LP001768,1.0,1.0,1,,3716,42.0,180.0,1.0,Rural
LP001770,1.0,0.0,0,No,3189,120.0,,1.0,Rural
LP001776,0.0,0.0,1,No,8333,280.0,360.0,1.0,Semiurban
LP001778,1.0,1.0,1,No,3155,140.0,360.0,1.0,Semiurban
LP001784,1.0,1.0,1,No,5500,170.0,360.0,1.0,Rural
LP001788,0.0,0.0,1,Yes,3463,122.0,360.0,,Urban
LP001790,0.0,0.0,1,No,3812,112.0,360.0,1.0,Rural
LP001792,1.0,1.0,1,No,3315,96.0,360.0,1.0,Semiurban
LP001798,1.0,1.0,1,No,5819,120.0,360.0,1.0,Rural
LP001806,1.0,0.0,1,No,2965,155.0,60.0,1.0,Urban
LP001807,1.0,1.0,1,Yes,6250,108.0,360.0,1.0,Rural
LP001811,1.0,1.0,0,No,3406,123.0,360.0,1.0,Semiurban
LP001814,1.0,1.0,1,No,9703,112.0,360.0,1.0,Urban
LP001819,1.0,1.0,0,No,6608,137.0,180.0,1.0,Urban
LP001824,1.0,1.0,1,No,2882,123.0,480.0,1.0,Semiurban
LP001825,1.0,1.0,1,No,1809,90.0,360.0,1.0,Urban
LP001841,1.0,0.0,0,Yes,2583,104.0,360.0,1.0,Rural
LP001843,1.0,1.0,0,No,2661,279.0,180.0,1.0,Semiurban
LP001846,0.0,0.0,1,No,3083,255.0,360.0,1.0,Rural
LP001865,1.0,1.0,1,No,6083,330.0,360.0,,Urban
LP001868,1.0,0.0,1,No,2060,134.0,360.0,1.0,Semiurban
LP001871,0.0,0.0,1,No,7200,120.0,360.0,1.0,Rural
LP001872,1.0,0.0,1,Yes,5166,128.0,360.0,1.0,Semiurban
LP001875,1.0,0.0,1,No,4095,151.0,360.0,1.0,Rural
LP001877,1.0,1.0,1,No,4708,150.0,360.0,1.0,Semiurban
LP001882,1.0,1.0,1,No,4333,160.0,360.0,0.0,Urban
LP001884,0.0,0.0,1,No,2876,90.0,360.0,1.0,Urban
LP001888,0.0,0.0,1,No,3237,30.0,360.0,1.0,Urban
LP001891,1.0,1.0,1,No,11146,136.0,360.0,1.0,Urban
LP001892,1.0,0.0,1,No,2833,126.0,360.0,1.0,Rural
LP001894,1.0,1.0,1,No,2620,150.0,360.0,1.0,Semiurban
LP001896,1.0,1.0,1,No,3900,90.0,360.0,1.0,Semiurban
LP001900,1.0,1.0,1,No,2750,115.0,360.0,1.0,Semiurban
LP001903,1.0,1.0,1,No,3993,207.0,360.0,1.0,Semiurban
LP001904,1.0,1.0,1,No,3103,80.0,360.0,1.0,Urban
LP001907,1.0,1.0,1,No,14583,436.0,360.0,1.0,Semiurban
LP001908,0.0,1.0,0,No,4100,124.0,360.0,,Rural
LP001914,1.0,1.0,1,No,3927,112.0,360.0,1.0,Semiurban
LP001915,1.0,1.0,1,No,2301,78.0,180.0,1.0,Urban
LP001917,0.0,0.0,1,No,1811,54.0,360.0,1.0,Urban
LP001924,1.0,0.0,1,No,3158,89.0,360.0,1.0,Rural
LP001926,1.0,1.0,1,No,3704,120.0,360.0,1.0,Rural
LP001931,0.0,0.0,1,No,4124,115.0,360.0,1.0,Semiurban
LP001935,1.0,0.0,1,No,9508,187.0,360.0,1.0,Rural
LP001936,1.0,1.0,1,No,3075,139.0,360.0,1.0,Rural
LP001940,1.0,1.0,1,No,3153,134.0,360.0,1.0,Urban
LP001947,1.0,1.0,1,No,2383,172.0,360.0,1.0,Semiurban
LP001949,1.0,1.0,1,,4416,110.0,360.0,1.0,Urban
LP001953,1.0,1.0,1,No,6875,200.0,360.0,1.0,Semiurban
LP001954,0.0,1.0,1,No,4666,135.0,360.0,1.0,Urban
LP001972,1.0,1.0,0,No,2875,105.0,360.0,1.0,Semiurban
LP001974,0.0,0.0,1,No,5000,132.0,360.0,1.0,Rural
LP001977,1.0,1.0,1,No,1625,96.0,360.0,1.0,Urban
LP001978,1.0,0.0,1,No,4000,140.0,360.0,1.0,Rural
LP001993,0.0,0.0,1,No,3762,135.0,360.0,1.0,Rural
LP001998,1.0,1.0,0,No,7667,185.0,360.0,,Rural
LP002002,0.0,0.0,1,No,2917,84.0,360.0,1.0,Semiurban
LP002004,1.0,0.0,0,No,2927,111.0,360.0,1.0,Semiurban
LP002006,0.0,0.0,1,No,2507,56.0,360.0,1.0,Rural
LP002008,1.0,1.0,1,Yes,5746,144.0,84.0,,Rural
LP002031,1.0,1.0,0,No,3399,111.0,180.0,1.0,Urban
LP002035,1.0,1.0,1,No,3717,120.0,360.0,1.0,Semiurban
LP002036,1.0,1.0,1,No,2058,88.0,360.0,,Urban
LP002043,0.0,0.0,1,No,3541,112.0,360.0,,Semiurban
LP002051,1.0,1.0,1,No,2400,115.0,360.0,1.0,Semiurban
LP002053,1.0,1.0,1,No,4342,124.0,360.0,1.0,Semiurban
LP002054,1.0,1.0,0,No,3601,,360.0,1.0,Rural
LP002055,0.0,0.0,1,No,3166,132.0,360.0,,Rural
LP002065,1.0,1.0,1,No,15000,300.0,360.0,1.0,Rural
LP002068,1.0,0.0,1,No,4917,130.0,360.0,0.0,Rural
LP002082,1.0,1.0,1,Yes,5818,184.0,360.0,1.0,Semiurban
LP002087,0.0,0.0,1,No,2500,67.0,360.0,1.0,Urban
LP002097,1.0,0.0,1,No,4384,117.0,360.0,1.0,Urban
LP002098,1.0,0.0,1,No,2935,98.0,360.0,1.0,Semiurban
LP002100,1.0,0.0,1,No,2833,71.0,360.0,1.0,Urban
LP002101,1.0,1.0,1,,63337,490.0,180.0,1.0,Urban
LP002103,,1.0,1,Yes,9833,182.0,180.0,1.0,Urban
LP002106,1.0,1.0,1,Yes,5503,70.0,,1.0,Semiurban
LP002110,1.0,1.0,1,,5250,160.0,360.0,1.0,Rural
LP002112,1.0,1.0,1,Yes,2500,176.0,360.0,1.0,Rural
LP002114,0.0,0.0,1,No,4160,71.0,360.0,1.0,Semiurban
LP002119,1.0,1.0,0,No,4554,158.0,360.0,1.0,Urban
LP002126,1.0,1.0,0,No,3173,74.0,360.0,1.0,Semiurban
LP002128,1.0,1.0,1,,2583,125.0,360.0,1.0,Rural
LP002129,1.0,1.0,1,No,2499,160.0,360.0,1.0,Semiurban
LP002131,1.0,1.0,0,No,3083,126.0,360.0,1.0,Urban
LP002137,1.0,1.0,1,No,6333,259.0,360.0,,Semiurban
LP002138,1.0,1.0,1,No,2625,187.0,360.0,1.0,Rural
LP002139,1.0,1.0,1,No,9083,228.0,360.0,1.0,Semiurban
LP002141,1.0,1.0,1,No,2666,95.0,360.0,1.0,Rural
LP002143,0.0,1.0,1,No,2423,130.0,360.0,1.0,Semiurban
LP002144,0.0,0.0,1,No,3813,116.0,180.0,1.0,Urban
LP002149,1.0,1.0,1,No,8333,165.0,360.0,1.0,Rural
LP002160,1.0,1.0,1,No,5167,200.0,360.0,1.0,Semiurban
LP002170,1.0,1.0,1,No,5000,236.0,360.0,1.0,Semiurban
LP002175,1.0,1.0,1,No,4750,130.0,360.0,1.0,Urban
LP002178,1.0,1.0,1,No,3013,95.0,300.0,,Urban
LP002180,1.0,0.0,1,Yes,6822,141.0,360.0,1.0,Rural
LP002190,1.0,1.0,1,No,6325,175.0,360.0,1.0,Semiurban
LP002194,0.0,0.0,1,Yes,15759,55.0,360.0,1.0,Semiurban
LP002197,1.0,1.0,1,No,5185,155.0,360.0,1.0,Semiurban
LP002201,1.0,1.0,1,Yes,9323,380.0,300.0,1.0,Rural
LP002209,0.0,0.0,1,,2764,110.0,360.0,1.0,Urban
LP002211,1.0,1.0,1,No,4817,120.0,180.0,1.0,Urban
LP002219,1.0,1.0,1,No,8750,130.0,360.0,1.0,Rural
LP002223,1.0,1.0,1,No,4310,130.0,360.0,,Semiurban
LP002225,1.0,1.0,1,No,5391,130.0,360.0,1.0,Urban
LP002226,1.0,1.0,1,,3333,128.0,360.0,1.0,Semiurban
LP002229,1.0,0.0,1,No,5941,296.0,360.0,1.0,Semiurban
LP002231,0.0,0.0,1,No,6000,156.0,360.0,1.0,Urban
LP002234,1.0,0.0,1,Yes,7167,128.0,360.0,1.0,Urban
LP002237,1.0,0.0,1,,3667,113.0,180.0,1.0,Urban
LP002239,1.0,0.0,0,No,2346,132.0,360.0,1.0,Semiurban
LP002244,1.0,1.0,1,No,2333,136.0,360.0,1.0,Urban
LP002250,1.0,1.0,1,No,5488,125.0,360.0,1.0,Rural
LP002255,1.0,0.0,1,No,9167,185.0,360.0,1.0,Rural
LP002262,1.0,1.0,1,No,9504,275.0,360.0,1.0,Rural
LP002263,1.0,1.0,1,No,2583,120.0,360.0,,Urban
LP002265,1.0,1.0,0,No,1993,113.0,180.0,1.0,Semiurban
LP002266,1.0,1.0,1,No,3100,113.0,360.0,1.0,Urban
LP002272,1.0,1.0,1,No,3276,135.0,360.0,,Semiurban
LP002281,1.0,1.0,1,No,3033,95.0,360.0,1.0,Urban
LP002284,1.0,0.0,0,No,3902,109.0,360.0,1.0,Rural
LP002297,1.0,0.0,1,No,2500,103.0,360.0,1.0,Semiurban
LP002300,0.0,0.0,0,No,1963,53.0,360.0,1.0,Semiurban
LP002305,0.0,0.0,1,No,4547,115.0,360.0,1.0,Semiurban
LP002308,1.0,1.0,0,No,2167,115.0,360.0,1.0,Urban
LP002314,0.0,0.0,0,No,2213,66.0,360.0,1.0,Rural
LP002319,1.0,1.0,1,,6256,160.0,360.0,,Urban
LP002332,1.0,1.0,0,No,2253,110.0,360.0,1.0,Rural
LP002337,0.0,0.0,1,No,2995,60.0,360.0,1.0,Urban
LP002345,1.0,1.0,1,No,1025,112.0,360.0,1.0,Rural
LP002347,1.0,1.0,1,No,3246,138.0,360.0,1.0,Semiurban
LP002348,1.0,1.0,1,No,5829,138.0,360.0,1.0,Rural
LP002361,1.0,1.0,1,No,1820,100.0,360.0,1.0,Urban
LP002364,1.0,1.0,1,No,14880,96.0,360.0,1.0,Semiurban
LP002366,1.0,1.0,1,No,2666,121.0,360.0,1.0,Rural
LP002368,1.0,1.0,1,No,5935,133.0,360.0,1.0,Semiurban
LP002369,1.0,1.0,1,No,2920,87.0,360.0,1.0,Rural
LP002370,1.0,0.0,0,No,2717,60.0,180.0,1.0,Urban
LP002377,0.0,0.0,1,Yes,8624,150.0,360.0,1.0,Semiurban
LP002386,1.0,0.0,1,,12876,405.0,360.0,1.0,Semiurban
LP002387,1.0,1.0,1,No,2425,143.0,360.0,1.0,Semiurban
LP002390,1.0,0.0,1,No,3750,100.0,360.0,1.0,Urban
LP002393,0.0,,1,No,10047,,240.0,1.0,Semiurban
LP002398,1.0,0.0,1,No,1926,50.0,360.0,1.0,Semiurban
LP002401,1.0,1.0,1,No,2213,,360.0,1.0,Urban
LP002407,0.0,1.0,0,Yes,7142,138.0,360.0,1.0,Rural
LP002408,1.0,0.0,1,No,3660,187.0,360.0,1.0,Semiurban
LP002409,1.0,1.0,1,No,7901,180.0,360.0,1.0,Rural
LP002418,1.0,0.0,0,No,4707,148.0,360.0,1.0,Semiurban
LP002422,1.0,0.0,1,No,37719,152.0,360.0,1.0,Semiurban
LP002424,1.0,1.0,1,No,7333,175.0,300.0,,Rural
LP002429,1.0,1.0,1,Yes,3466,130.0,360.0,1.0,Rural
LP002434,1.0,1.0,0,No,4652,110.0,360.0,1.0,Rural
LP002447,1.0,1.0,0,No,1958,60.0,300.0,,Urban
LP002449,1.0,1.0,1,No,2483,90.0,180.0,0.0,Rural
LP002453,1.0,0.0,1,Yes,7085,84.0,360.0,1.0,Semiurban
LP002455,1.0,1.0,1,No,3859,96.0,360.0,1.0,Semiurban
LP002459,1.0,1.0,1,No,4301,118.0,360.0,1.0,Urban
LP002472,1.0,0.0,1,No,4354,136.0,360.0,1.0,Rural
LP002478,,1.0,1,Yes,2083,160.0,360.0,,Semiurban
LP002484,1.0,1.0,1,No,7740,128.0,180.0,1.0,Urban
LP002487,1.0,1.0,1,No,3015,153.0,360.0,1.0,Rural
LP002489,0.0,0.0,0,,5191,132.0,360.0,1.0,Semiurban
LP002494,1.0,0.0,1,No,6000,140.0,360.0,1.0,Rural
LP002501,,1.0,1,No,16692,110.0,360.0,1.0,Semiurban
LP002502,0.0,1.0,0,,210,98.0,360.0,1.0,Semiurban
LP002515,1.0,1.0,1,Yes,3450,162.0,360.0,1.0,Semiurban
LP002519,1.0,1.0,1,No,4691,100.0,360.0,1.0,Semiurban
LP002522,0.0,0.0,1,Yes,2500,93.0,360.0,,Urban
LP002524,1.0,0.0,1,No,5532,162.0,360.0,1.0,Rural
LP002527,1.0,1.0,1,Yes,16525,150.0,360.0,1.0,Rural
LP002529,1.0,1.0,1,No,6700,230.0,300.0,1.0,Semiurban
LP002531,1.0,1.0,1,Yes,16667,86.0,360.0,1.0,Semiurban
LP002534,0.0,0.0,0,No,4350,154.0,360.0,1.0,Rural
LP002536,1.0,1.0,0,No,3095,113.0,360.0,1.0,Rural
LP002537,1.0,1.0,1,No,2083,128.0,360.0,1.0,Semiurban
LP002541,1.0,1.0,1,No,10833,234.0,360.0,1.0,Semiurban
LP002543,1.0,1.0,1,No,8333,246.0,360.0,1.0,Semiurban
LP002544,1.0,1.0,0,No,1958,131.0,360.0,1.0,Rural
LP002555,1.0,1.0,1,Yes,4583,160.0,360.0,1.0,Semiurban
LP002560,1.0,0.0,0,No,2699,96.0,360.0,,Semiurban
LP002562,1.0,1.0,0,No,5333,186.0,360.0,,Urban
LP002571,1.0,0.0,0,No,3691,110.0,360.0,1.0,Rural
LP002582,0.0,0.0,0,Yes,17263,225.0,360.0,1.0,Semiurban
LP002586,0.0,1.0,1,No,3326,105.0,84.0,1.0,Semiurban
LP002587,1.0,1.0,0,No,2600,107.0,360.0,1.0,Rural
LP002588,1.0,1.0,1,No,4625,111.0,12.0,,Urban
LP002600,1.0,1.0,1,Yes,2895,95.0,360.0,1.0,Semiurban
LP002603,0.0,0.0,1,No,645,113.0,480.0,1.0,Rural
LP002606,0.0,0.0,1,No,3159,100.0,360.0,1.0,Semiurban
LP002615,1.0,1.0,1,No,4865,208.0,360.0,1.0,Semiurban
LP002619,1.0,1.0,0,No,3814,124.0,300.0,1.0,Semiurban
LP002622,1.0,1.0,1,No,3510,243.0,360.0,1.0,Rural
LP002624,1.0,1.0,1,No,20833,480.0,360.0,,Urban
LP002626,1.0,1.0,1,Yes,2479,188.0,360.0,1.0,Urban
LP002634,0.0,0.0,1,No,13262,40.0,360.0,1.0,Urban
LP002640,1.0,1.0,1,No,6065,250.0,360.0,1.0,Semiurban
LP002643,1.0,1.0,1,No,3283,148.0,360.0,1.0,Urban
LP002659,1.0,1.0,1,No,3466,150.0,360.0,1.0,Rural
LP002670,0.0,1.0,1,No,2031,113.0,480.0,1.0,Semiurban
LP002689,1.0,1.0,0,No,2192,45.0,360.0,1.0,Semiurban
LP002690,1.0,0.0,1,No,2500,55.0,360.0,1.0,Semiurban
LP002692,1.0,1.0,1,Yes,5677,100.0,360.0,1.0,Rural
LP002693,1.0,1.0,1,Yes,7948,480.0,360.0,1.0,Rural
LP002699,1.0,1.0,1,Yes,17500,400.0,360.0,1.0,Rural
LP002705,1.0,1.0,1,No,3775,110.0,360.0,1.0,Semiurban
LP002706,1.0,1.0,0,No,5285,161.0,360.0,0.0,Semiurban
LP002714,1.0,0.0,0,No,2679,94.0,360.0,1.0,Semiurban
LP002716,1.0,0.0,0,No,6783,130.0,360.0,1.0,Semiurban
LP002717,1.0,1.0,1,No,1025,216.0,360.0,,Rural
LP002720,1.0,1.0,1,No,4281,100.0,360.0,1.0,Urban
LP002731,0.0,0.0,0,Yes,18165,125.0,360.0,1.0,Urban
LP002732,1.0,0.0,0,,2550,126.0,360.0,1.0,Rural
LP002734,1.0,1.0,1,No,6133,324.0,360.0,1.0,Urban
LP002738,1.0,0.0,1,No,3617,107.0,360.0,1.0,Semiurban
LP002740,1.0,1.0,1,No,6417,157.0,180.0,1.0,Rural
LP002741,0.0,1.0,1,No,4608,140.0,180.0,1.0,Semiurban
LP002753,0.0,0.0,1,,3652,95.0,360.0,1.0,Semiurban
LP002755,1.0,1.0,0,No,2239,128.0,360.0,1.0,Urban
LP002757,0.0,1.0,0,No,3017,102.0,360.0,,Semiurban
LP002767,1.0,1.0,1,No,2768,155.0,360.0,1.0,Rural
LP002772,1.0,0.0,1,No,2526,145.0,360.0,1.0,Rural
